Name,US dollar,Euro,Japanese yen,Pound Sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Russian ruble,South African rand,Australian dollar
12/29/1978,226.00,137.10,#N/A,110.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/1979,226.00,137.10,#N/A,110.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/1979,226.80,137.30,"43,164.90",111.50,263.70,359.60,"1,792.90",#N/A,#N/A,735.60,"138,160.50",851.30,"4,454.60",#N/A,#N/A,"107,470.00",#N/A,194.60,193.60
3/1/1979,218.60,134.00,"43,717.90",108.00,264.40,365.90,"1,802.20",#N/A,#N/A,739.40,"138,877.00",855.70,"4,477.70",#N/A,#N/A,"108,027.40",#N/A,192.20,193.00
4/1/1979,223.20,136.80,"43,674.90",110.70,264.10,366.40,"1,811.70",#N/A,#N/A,743.40,"139,616.30",860.30,"4,501.50",#N/A,#N/A,"108,602.50",#N/A,193.00,194.60
5/1/1979,225.50,138.40,"44,582.50",111.60,268.40,373.70,"1,843.60",#N/A,#N/A,756.40,"142,069.10",875.40,"4,580.60",#N/A,#N/A,"110,510.40",#N/A,196.40,197.90
8/1/1979,223.10,136.40,"44,436.20",110.20,269.50,372.60,"1,841.30",#N/A,#N/A,750.90,"141,870.90",869.70,"4,574.20",#N/A,#N/A,"110,356.30",#N/A,197.20,197.90
9/1/1979,224.00,137.30,"44,045.60",111.00,266.30,372.80,"1,822.50",#N/A,#N/A,743.30,"140,446.70",860.90,"4,528.30",#N/A,#N/A,"109,248.40",#N/A,195.00,195.90
10/1/1979,220.70,135.50,"43,366.40",109.90,261.80,365.90,"1,803.50",#N/A,#N/A,735.60,"138,981.00",852.00,"4,481.00",#N/A,#N/A,"108,108.30",#N/A,192.00,192.70
11/1/1979,220.70,135.90,"43,770.60",110.20,262.50,370.90,"1,814.60",#N/A,#N/A,740.10,"139,833.80",857.20,"4,508.50",#N/A,#N/A,"108,771.70",#N/A,192.40,193.80
12/1/1979,217.60,134.10,"42,837.10",109.00,257.20,364.60,"1,782.60",#N/A,#N/A,727.10,"137,371.80",842.10,"4,429.10",#N/A,#N/A,"106,856.60",#N/A,187.10,189.80
1/15/1979,216.90,133.80,"42,795.30",108.80,256.80,367.80,"1,782.00",#N/A,#N/A,718.10,"135,122.40",825.50,"4,374.70",#N/A,#N/A,"106,819.80",#N/A,187.30,189.80
1/16/1979,220.70,135.60,"43,225.90",110.20,260.90,367.70,"1,796.50",#N/A,#N/A,724.00,"136,222.90",832.30,"4,410.40",#N/A,#N/A,"107,689.80",#N/A,189.30,191.90
